,price_usd_close,min_1_count,min_10_count,min_100_count,min_1k_count,min_10k_count,active_count,new_non_zero_count,receiving_count,balance_exchanges,balance_exchanges_relative,exchange_net_position_change,active_3m_6m,active_6m_12m,active_1y_2y,active_2y_3y,active_3y_5y,profit_relative,profit_sum,loss_sum,count,transfers_volume_exchanges_net,mvrv,mvrv_z_score,marketcap_realized_usd,net_unrealized_profit_loss,seller_exhaustion_constant,realized_profits_to_value_ratio,realized_profit,realized_loss,ssr_oscillator
balance_exchanges_relative,0.8645497841406782,0.19603134381274906,0.7784586205963557,0.002017137978934661,0.09170467513086672,0.7385290405687682,0.14732712319259827,0.12214819455180873,0.17907745681537177,0.9969464843895789,1.0,0.1074526546577377,0.12819636851414806,0.4103669337674569,0.7283494956455826,0.8779266120927308,0.9206787760591202,0.06322874707065797,0.11236545402455231,0.05570977626053172,0.3551091275278984,0.03512800782593219,0.4695950386077174,0.4477647028626286,0.8486758531834606,0.5462720739365831,0.23602226131476992,0.21270665781334408,0.4075030307635607,0.37385462199291225,0.27827440085901217
exchange_net_position_change,0.2833595279057911,0.18550266437409718,0.38320293093073216,0.0436971327746206,0.026413136469388847,0.358002629707075,0.06696752339344064,0.10136392056564235,0.03449221201504846,0.07657571177952459,0.1074526546577377,1.0,0.31983945661840263,0.05677644227455023,0.3438263907384734,0.251481372175856,0.2911243021927557,0.20714117232858767,0.19017608432250704,0.20993667009468184,0.20801849626144903,0.23584736033641446,0.042991459951199504,0.0675284479641679,0.3405400798780663,0.03738109964295527,0.33320901073048526,0.03310573344253681,0.13078181837208763,0.40562837542132396,0.0931035840817152
active_3m_6m,0.30141116347211083,0.6384168226778324,0.5427505044351749,0.1287600259415996,0.3452050289585066,0.6064427741163464,0.2535711883130818,0.42657322126405106,0.2907946791732226,0.10495759436470703,0.12819636851414806,0.31983945661840263,1.0,0.02688328364677726,0.505396736915766,0.19451330105266607,0.16370926594401394,0.2278240659032789,0.1962979597763138,0.23478154564212667,0.48477797809265766,0.0856332962646517,0.0774075792474871,0.0748726649175408,0.3630664201930285,0.03413086931038706,0.03330287394972779,0.21381046671037993,0.029508314872376453,0.19699454003548245,0.36445875677190953
active_6m_12m,0.36889112334378316,0.47957794678007254,0.4026643906954795,0.4840933647459924,0.5937334189093283,0.4354184082839618,0.39810396113948243,0.46064043816362227,0.2932040172994952,0.3604323058876643,0.4103669337674569,0.05677644227455023,0.02688328364677726,1.0,0.27612474711124063,0.43127781960549827,0.21327183105132486,0.29935100054956154,0.2644769872429454,0.30225075997913503,0.33892898967105484,0.01804724890313528,0.29255086026938215,0.3498539209293391,0.6096245887399409,0.1985129426215776,0.23414540564360292,0.30693795013340586,0.10795524814494309,0.17645283732545278,0.12109349718869244
active_1y_2y,0.8465974977404772,0.40824751615195237,0.8238971946904642,0.11977424765049707,0.09475092591040282,0.844358733482669,0.015263710100880273,0.2481135366783229,0.02313909943885839,0.7158221775826645,0.7283494956455826,0.3438263907384734,0.505396736915766,0.27612474711124063,1.0,0.6003373219285508,0.7194476237697963,0.014856928407292627,0.03942298107778721,0.0240351071455398,0.46027471152424826,0.07992933191067754,0.47152742571578826,0.4807412362321584,0.7790770897838069,0.5102377413096998,0.30625590703452754,0.20087881519858874,0.423129621245758,0.3709506447799708,0.27914832357083913
active_2y_3y,0.7693204487197693,0.3845289007646405,0.8570340601720435,0.1787422745375039,0.10934921499227401,0.7742796154983005,0.002853439813120483,0.2900285232816139,0.033344443431056005,0.8507334353002427,0.8779266120927308,0.251481372175856,0.19451330105266607,0.43127781960549827,0.6003373219285508,1.0,0.9189741532123219,0.24719538136657798,0.20467930265852766,0.2538463460682473,0.4904231334680313,0.053977358200697066,0.18304777301009553,0.18690996139025992,0.904768181411505,0.24116138553329558,0.18934085476104243,0.0019243183319887637,0.2309240964532478,0.488527473014982,0.053744938269209015
active_3y_5y,0.7964400277444181,0.22277559431473218,0.8191233470414014,0.011884091167014919,0.18232160337897405,0.7407334841655899,0.15594978444375932,0.13511460657051902,0.16630785462764605,0.9112922263586868,0.9206787760591202,0.2911243021927557,0.16370926594401394,0.21327183105132486,0.7194476237697963,0.9189741532123219,1.0,0.06928188096403859,0.026914341010188355,0.07685681814959827,0.40585495337540123,0.05865404609897804,0.4262186597839914,0.4414674806808266,0.8221876147541058,0.4691652540252046,0.33115142663889546,0.22165695626921478,0.3883656757218274,0.45354299371062906,0.1800380446303428
profit_relative,0.14268836359850176,0.5468454111234772,0.297100463868463,0.5526454356890403,0.5698289114881131,0.27231875304995196,0.5325917251332611,0.5935908558505537,0.5116482363120323,0.11750224148135807,0.06322874707065797,0.20714117232858767,0.2278240659032789,0.29935100054956154,0.014856928407292627,0.24719538136657798,0.06928188096403859,1.0,0.9979886968261044,0.999906369787091,0.46965391217881053,0.014422593735421645,0.7416737817502396,0.6880171799655677,0.2994013327767866,0.7806396209478486,0.29122282519003245,0.5459004736645613,0.44889113202527137,0.3848558325682987,0.7356404603983667
profit_sum,0.19592271662682464,0.512437925976535,0.2446262976213087,0.5487002143970303,0.5599383148762692,0.21851229535183223,0.5269185947521512,0.572586319890086,0.5086732318564688,0.16500653598364884,0.11236545402455231,0.19017608432250704,0.1962979597763138,0.2644769872429454,0.03942298107778721,0.20467930265852766,0.026914341010188355,0.9979886968261044,1.0,0.9972621630110793,0.43955524670065377,0.010561089414501686,0.760559526880216,0.7049924872526312,0.24563522103677393,0.8048203464587597,0.3006322480205889,0.5483129646907211,0.4686639855262502,0.3610831584826918,0.7448037169353439
loss_sum,0.13564566793726623,0.5532002994568398,0.305357134866897,0.5527605486483408,0.5701337884879335,0.28061483331552195,0.5340429475445012,0.5976472861766381,0.5131802612405804,0.11017667947676994,0.05570977626053172,0.20993667009468184,0.23478154564212667,0.30225075997913503,0.0240351071455398,0.2538463460682473,0.07685681814959827,0.999906369787091,0.9972621630110793,1.0,0.47568889309688855,0.015355693602759929,0.7387527324639482,0.6852711109995339,0.30695986869105607,0.7764816927007727,0.2883794461923954,0.5451756030585471,0.4465890825938579,0.3889273165506336,0.734796011199281
count,0.32332871476747577,0.6479136763936432,0.5998439602884096,0.34623233665778974,0.40967632963217815,0.5847770949438046,0.7213691098450425,0.9162720172965807,0.7794481769499009,0.31605921944211307,0.3551091275278984,0.20801849626144903,0.48477797809265766,0.33892898967105484,0.46027471152424826,0.4904231334680313,0.40585495337540123,0.46965391217881053,0.43955524670065377,0.47568889309688855,1.0,0.05752590623636805,0.24740585095252626,0.23431857852028953,0.5672653733034355,0.1929377980609732,0.005578731029630813,0.38558170703470157,0.22693107318426842,0.2656544035830504,0.40169256093735095
transfers_volume_exchanges_net,0.08737172006220296,7.597100067599219e-05,0.07304422378711185,0.029921423432321997,0.008252757978524723,0.0765812134309654,0.028488301809510605,0.024476692869585478,0.0020999991573807343,0.0304628128463243,0.03512800782593219,0.23584736033641446,0.0856332962646517,0.01804724890313528,0.07992933191067754,0.053977358200697066,0.05865404609897804,0.014422593735421645,0.010561089414501686,0.015355693602759929,0.05752590623636805,1.0,0.06124533360987773,0.058820089753074574,0.07423422030246082,0.05611599015910436,0.018422609874599146,0.0021625079501671374,0.0005034469202654903,0.06347220775346726,0.014363552858952326
mvrv,0.5977660723108882,0.4351136347777685,0.191415808838819,0.6224417789805379,0.7234833564712841,0.18025959733573707,0.6262613545516443,0.5247529098390675,0.6099999798458855,0.5182468405530327,0.4695950386077174,0.042991459951199504,0.0774075792474871,0.29255086026938215,0.47152742571578826,0.18304777301009553,0.4262186597839914,0.7416737817502396,0.760559526880216,0.7387527324639482,0.24740585095252626,0.06124533360987773,1.0,0.9886857897580776,0.14854232374584098,0.971910748843597,0.46059337838202186,0.6806184085198328,0.7004751564917506,0.04705591035447651,0.8463793571140578
mvrv_z_score,0.5852123386610634,0.4369645876028548,0.20797517926071749,0.6281725563458186,0.7662867902511071,0.18762187710863487,0.621708374137365,0.5191299654353105,0.6041095970950888,0.4958727785380113,0.4477647028626286,0.0675284479641679,0.0748726649175408,0.3498539209293391,0.4807412362321584,0.18690996139025992,0.4414674806808266,0.6880171799655677,0.7049924872526312,0.6852711109995339,0.23431857852028953,0.058820089753074574,0.9886857897580776,1.0,0.1422826653507603,0.945965547463006,0.47919254365237,0.6863471183450609,0.7051711427852245,0.02881344092531715,0.8234749544982268
marketcap_realized_usd,0.8644498109711432,0.5398066794688707,0.9431183261981081,0.2450677955709602,0.2679939188661533,0.9194359897311283,0.1231370429654278,0.414594328777696,0.07145254271911763,0.8095158064306854,0.8486758531834606,0.3405400798780663,0.3630664201930285,0.6096245887399409,0.7790770897838069,0.904768181411505,0.8221876147541058,0.2994013327767866,0.24563522103677393,0.30695986869105607,0.5672653733034355,0.07423422030246082,0.14854232374584098,0.1422826653507603,1.0,0.21256763554642502,0.09529149668411689,0.07029247443304563,0.22855496135066117,0.49364000766916555,0.029272872298434626
net_unrealized_profit_loss,0.6350268292575078,0.3782299004634107,0.23132498933046056,0.5774500487193909,0.6617862126206999,0.2264081525972212,0.5879714766932999,0.46676563455843967,0.571426873013558,0.5920646809568333,0.5462720739365831,0.03738109964295527,0.03413086931038706,0.1985129426215776,0.5102377413096998,0.24116138553329558,0.4691652540252046,0.7806396209478486,0.8048203464587597,0.7764816927007727,0.1929377980609732,0.05611599015910436,0.971910748843597,0.945965547463006,0.21256763554642502,1.0,0.46806368912729135,0.640862664158628,0.6688756824446024,0.04420696653761428,0.8221203017281359
seller_exhaustion_constant,0.23809764410254217,0.21945299676752003,0.1437958653803564,0.31498159492982936,0.47493938576214345,0.08555466388452689,0.2967645474918863,0.1881021045790741,0.2301203455043951,0.2521915705689923,0.23602226131476992,0.33320901073048526,0.03330287394972779,0.23414540564360292,0.30625590703452754,0.18934085476104243,0.33115142663889546,0.29122282519003245,0.3006322480205889,0.2883794461923954,0.005578731029630813,0.018422609874599146,0.46059337838202186,0.47919254365237,0.09529149668411689,0.46806368912729135,1.0,0.43296061593976015,0.37423349543712636,0.16720601877850713,0.37067455864418214
realized_profits_to_value_ratio,0.22785542449732116,0.4376832861447094,0.05235257157740562,0.4562505246549858,0.5860777124472233,0.05149100597384255,0.5528964174897986,0.5682639713082276,0.5831262397562591,0.25123745558236615,0.21270665781334408,0.03310573344253681,0.21381046671037993,0.30693795013340586,0.20087881519858874,0.0019243183319887637,0.22165695626921478,0.5459004736645613,0.5483129646907211,0.5451756030585471,0.38558170703470157,0.0021625079501671374,0.6806184085198328,0.6863471183450609,0.07029247443304563,0.640862664158628,0.43296061593976015,1.0,0.8918480003525763,0.011292863921133198,0.6815460791573551
realized_profit,0.5116725215729757,0.23054179663784308,0.24967707886884571,0.3705949833253821,0.45363007992899007,0.24708085355567122,0.5005679156547497,0.4330893857449502,0.5561423267611159,0.43201138325243627,0.4075030307635607,0.13078181837208763,0.029508314872376453,0.10795524814494309,0.423129621245758,0.2309240964532478,0.3883656757218274,0.44889113202527137,0.4686639855262502,0.4465890825938579,0.22693107318426842,0.0005034469202654903,0.7004751564917506,0.7051711427852245,0.22855496135066117,0.6688756824446024,0.37423349543712636,0.8918480003525763,1.0,0.13741411685873933,0.6092780124939096
realized_loss,0.33193994889749817,0.2759798931428063,0.4774094736531535,0.07360936986093951,0.10876730410036335,0.4229189225539104,0.01107461659290563,0.1544959756614597,0.05048959039165078,0.35034847350189774,0.37385462199291225,0.40562837542132396,0.19699454003548245,0.17645283732545278,0.3709506447799708,0.488527473014982,0.45354299371062906,0.3848558325682987,0.3610831584826918,0.3889273165506336,0.2656544035830504,0.06347220775346726,0.04705591035447651,0.02881344092531715,0.49364000766916555,0.04420696653761428,0.16720601877850713,0.011292863921133198,0.13741411685873933,1.0,0.1741372404979373
ssr_oscillator,0.36804176037399483,0.5495662242045147,0.08042764179787101,0.546180783142326,0.6833813079601173,0.04333853695756107,0.5360733331851277,0.558497521287891,0.5535575851708954,0.32118802513502964,0.27827440085901217,0.0931035840817152,0.36445875677190953,0.12109349718869244,0.27914832357083913,0.053744938269209015,0.1800380446303428,0.7356404603983667,0.7448037169353439,0.734796011199281,0.40169256093735095,0.014363552858952326,0.8463793571140578,0.8234749544982268,0.029272872298434626,0.8221203017281359,0.37067455864418214,0.6815460791573551,0.6092780124939096,0.1741372404979373,1.0
