time,time,price_usd_close,min_1_count,min_10_count,min_100_count,min_1k_count,min_10k_count,active_count,new_non_zero_count,receiving_count,balance_exchanges,balance_exchanges_relative,exchange_net_position_change,rcap_hodl_waves,active_3m_6m,active_6m_12m,active_1y_2y,active_2y_3y,active_3y_5y,profit_relative,profit_sum,loss_sum,count,transfers_volume_exchanges_net,mvrv,mvrv_z_score,marketcap_realized_usd,pi_cycle_top,net_unrealized_profit_loss,seller_exhaustion_constant,realized_profits_to_value_ratio,realized_profit,realized_loss,ssr,ssr_oscillator,network_capacity_sum
1589068800,2020-05-10,8761.29974684,810830.0,154628.0,16032.0,2122.0,108.0,872989.0,403201.0,571795.0,2981659.04216989,0.16228184140033838,-37354.466025759466,"{'1d_1w': 0.0732148872642289, '1m_3m': 0.123481410727347, '1w_1m': 0.0711419657537278, '1y_2y': 0.138445091975631, '24h': 0.0135394488333952, '2y_3y': 0.230155521609025, '3m_6m': 0.112902841706604, '3y_5y': 0.00685830415687733, '5y_7y': 0.00494804563326788, '6m_12m': 0.225034787818795, '7y_10y': 0.000277023735903305, 'more_10y': 6.70785325710482e-07}",1412692.26058571,2428860.96969725,2905736.69563738,2832563.59612175,1069183.77738094,0.735694174801677,13517136.068369,4856172.47660195,286619.0,-4586.861366462297,1.532110236387308,0.943905050469149,104369523259.496,"{'ma111': 8092.097939760985, 'ma350x2': 17585.768046659698}",0.352469346347387,0.08405999021663069,0.000596916021873598,62299840.6289023,140186080.809717,"{'h': 36.2841892606022, 'l': 14.771163918801697, 'v': 20.610672844011923}",-0.9142375221649794,926.98783635
1589155200,2020-05-11,8599.78194656,811768.0,154778.0,16066.0,2129.0,107.0,990652.0,456334.0,645070.0,2974991.324606959,0.16190296811764576,-38504.76337409159,"{'1d_1w': 0.0587038346688756, '1m_3m': 0.119361991353944, '1w_1m': 0.0717460287321886, '1y_2y': 0.138257845597967, '24h': 0.0289554183287568, '2y_3y': 0.230315895897831, '3m_6m': 0.114675292019306, '3y_5y': 0.00698336346319524, '5y_7y': 0.00494885920105962, '6m_12m': 0.225771869218065, '7y_10y': 0.00027893000600261, 'more_10y': 6.71512936945531e-07}",1427764.52854689,2434909.92185028,2896602.02651495,2827787.82941076,1076057.68417987,0.702132615044822,12901771.7910706,5473349.25390036,305682.0,-6656.944227608299,1.5349409987133293,0.895083600201083,104322794968.533,"{'ma111': 8092.541826366679, 'ma350x2': 17585.537677147826}",0.338849103044842,0.07927317790361076,0.0014626081962261833,152583374.9742,215145172.041186,"{'h': 36.27806621663123, 'l': 14.721373975095567, 'v': 20.615763428468043}",-0.9062534479171895,929.77982863
1589241600,2020-05-12,8800.72972155,812341.0,154745.0,16034.0,2136.0,107.0,958679.0,504187.0,686841.0,2952775.77845317,0.1606859890933202,-57800.66128041083,"{'1d_1w': 0.0576676467290828, '1m_3m': 0.117851206857378, '1w_1m': 0.0730044032086485, '1y_2y': 0.140386320819466, '24h': 0.0290230845689112, '2y_3y': 0.230526809334006, '3m_6m': 0.115035015105753, '3y_5y': 0.00702241431481904, '5y_7y': 0.00494987559309093, '6m_12m': 0.224252665583922, '7y_10y': 0.000279885817261665, 'more_10y': 6.72067790138952e-07}",1428310.48583048,2412192.24751019,2924301.89261055,2827112.57912106,1077666.18793779,0.748230569297383,13749510.0407814,4626523.50418953,345069.0,-22203.396715746698,1.546561933707842,0.957208313724368,104273501382.876,"{'ma111': 8093.286897419378, 'ma350x2': 17585.84053268101}",0.355795769057602,0.08302566091989452,0.0006064190256999131,63233435.1149222,120529369.643102,"{'h': 36.2609314168092, 'l': 14.67100929722906, 'v': 20.780308538614445}",-0.8681201891238333,928.36406738
1589328000,2020-05-13,9274.85620315,812751.0,154702.0,16011.0,2142.0,108.0,854774.0,452203.0,619879.0,2945001.260271789,0.16025642433226334,-56524.94583655149,"{'1d_1w': 0.0569722823869022, '1m_3m': 0.115303344624063, '1w_1m': 0.078837262450195, '1y_2y': 0.140600655219063, '24h': 0.0253476993310945, '2y_3y': 0.231411128584935, '3m_6m': 0.115783330464265, '3y_5y': 0.00704901602321478, '5y_7y': 0.00494190178346003, '6m_12m': 0.223470029048611, '7y_10y': 0.000282678277820294, 'more_10y': 6.71806506200609e-07}",1433923.12873966,2404485.93239978,2929664.79075141,2839403.62359455,1079179.88426757,0.803812706208444,14771487.0888605,3605290.20611046,296677.0,-7763.072318752398,1.5881662520445023,1.10026168676323,104384067883.995,"{'ma111': 8098.208224274298, 'ma350x2': 17587.93121600972}",0.387995105850891,0.08537797633384253,0.0013038992318912005,136106305.93562,33582679.0295713,"{'h': 36.17482502288104, 'l': 14.646221219914384, 'v': 21.383653498033866}",-0.7481896476368693,926.84002019
1589414400,2020-05-14,9742.73285277,813866.0,154718.0,15999.0,2147.0,108.0,881291.0,429577.0,593845.0,2946918.173432459,0.16035451866604458,-49058.774847692344,"{'1d_1w': 0.058052619098736, '1m_3m': 0.114614861954744, '1w_1m': 0.0851072539881163, '1y_2y': 0.140863280749592, '24h': 0.0198673367988432, '2y_3y': 0.230996898091946, '3m_6m': 0.115763890291883, '3y_5y': 0.00707241707524193, '5y_7y': 0.0049331409066186, '6m_12m': 0.222444354034129, '7y_10y': 0.000283275873801693, 'more_10y': 6.71136479061392e-07}",1433665.92762982,2395932.5488028,2935414.44329872,2837845.90569407,1080745.90535308,0.854444676567628,15702548.3239888,2674941.47098211,268636.0,1929.0653220202948,1.6759435889625507,1.24940950440107,104547301739.841,"{'ma111': 8108.364725992862, 'ma350x2': 17592.989081257998}",0.41681883298051,0.08619411414806599,0.0016966166540044627,177376693.263044,20972838.853489,"{'h': 36.10410993441995, 'l': 14.563308009776225, 'v': 17.476968581660664}",-1.4589503989540762,922.11685256
1589500800,2020-05-15,9324.74955892,813873.0,154648.0,16016.0,2144.0,108.0,896252.0,472344.0,644490.0,2946239.59335052,0.16031077919886605,-57046.273382862564,"{'1d_1w': 0.0533579551531366, '1m_3m': 0.113490967238344, '1w_1m': 0.0897273217429158, '1y_2y': 0.14091755543308, '24h': 0.0224207362718423, '2y_3y': 0.230852715384254, '3m_6m': 0.116083650013973, '3y_5y': 0.00707889382009324, '5y_7y': 0.00492507061844653, '6m_12m': 0.220857151882807, '7y_10y': 0.000287311208591467, 'more_10y': 6.71232646942685e-07}",1437101.63849584,2382240.75405289,2936962.66665701,2837989.96203834,1081236.48617678,0.799979130442062,14702233.2895844,3676037.75538657,310517.0,-661.2748803033974,1.6728035654264488,1.11057856194665,104639274928.3,"{'ma111': 8118.950939903946, 'ma350x2': 17599.54592727483}",0.390544129551397,0.08002647086139662,0.001400458932077338,146543007.219434,62001142.0797879,"{'h': 36.02808322353252, 'l': 14.479406468311582, 'v': 17.1647070365615}",-1.5015377326871253,914.55908463
1589587200,2020-05-16,9378.12485501,813767.0,154322.0,16004.0,2143.0,108.0,879025.0,427444.0,589894.0,2945975.36414507,0.16028953364224802,-62099.01447040215,"{'1d_1w': 0.0616508008316064, '1m_3m': 0.113904103695035, '1w_1m': 0.0914727352190309, '1y_2y': 0.139024063713611, '24h': 0.0119540355839894, '2y_3y': 0.233659195991578, '3m_6m': 0.114621039399642, '3y_5y': 0.00719865060212484, '5y_7y': 0.0049127234536211, '6m_12m': 0.221311041777099, '7y_10y': 0.000290938405953957, 'more_10y': 6.71326839203785e-07}",1418689.3166041,2386618.65920982,2915428.51222446,2868714.12747706,1087876.42336719,0.803887443492361,14774694.3875131,3604364.15745783,296429.0,-252.10115844929896,1.651464159888603,1.12952917823866,104678430181.608,"{'ma111': 8127.497782124659, 'ma350x2': 17604.39327798465}",0.391516115931094,0.08000346002836448,0.0005057559319977332,52941737.0165588,21198931.1460177,"{'h': 35.9574289446659, 'l': 14.39081242921521, 'v': 16.947950858368444}",-1.5257228360654056,907.03404658
1589673600,2020-05-17,9670.02672308,813873.0,154377.0,16001.0,2144.0,108.0,769750.0,356593.0,495948.0,2946543.852255719,0.16031490418141287,-56415.55905775307,"{'1d_1w': 0.0616659695078393, '1m_3m': 0.113541717761232, '1w_1m': 0.0938318967918509, '1y_2y': 0.139267696786834, '24h': 0.00988485581426423, '2y_3y': 0.233640074799971, '3m_6m': 0.113544713709088, '3y_5y': 0.00720713147286384, '5y_7y': 0.00490924098255731, '6m_12m': 0.222214885351855, '7y_10y': 0.000291145436953752, 'more_10y': 6.71584823061985e-07}",1403973.99411278,2399229.93246129,2920310.90464329,2869575.0517323,1088030.29738877,0.844318678509436,15518320.676095,2861375.36887598,236706.0,578.6628603511999,1.688145664686283,1.2136878723306,104745114650.314,"{'ma111': 8135.44959717658, 'ma350x2': 17609.796810627176}",0.411800884875061,0.08161665602057094,0.0006315542403138789,66152221.3095692,5603651.88306309,"{'h': 35.891583330108446, 'l': 14.306947294627797, 'v': 17.326544223542605}",-1.4404173553908959,904.17454199
1589760000,2020-05-18,9729.46527585,814432.0,154263.0,16013.0,2144.0,107.0,964198.0,425493.0,602614.0,2948028.66403908,0.16038870837688696,-54778.842414021026,"{'1d_1w': 0.0511726242269514, '1m_3m': 0.110539439629398, '1w_1m': 0.0955604081705975, '1y_2y': 0.139564955603791, '24h': 0.0225060787479488, '2y_3y': 0.233349188986363, '3m_6m': 0.112630837209695, '3y_5y': 0.00721328938600155, '5y_7y': 0.00490076673174369, '6m_12m': 0.222269635506949, '7y_10y': 0.000292104914982815, 'more_10y': 6.70885709702815e-07}",1392137.45924406,2405741.93330696,2926946.70618177,2870452.05060942,1087896.60362476,0.849054445070672,15606041.8695865,2774454.17538446,273595.0,1500.0333829936062,1.7024997888325062,1.22809918279876,104943561435.017,"{'ma111': 8141.5547951966755, 'ma350x2': 17616.409995772327}",0.41279814161654,0.08074593980379152,0.0020074066145060964,210664399.37448,20000236.2042252,"{'h': 35.82324516713081, 'l': 14.228172096237042, 'v': 17.515355943988528}",-1.3911233665271523,904.74754431
1589846400,2020-05-19,9723.31137903,815290.0,154331.0,16037.0,2136.0,108.0,890223.0,428206.0,581362.0,2939945.03091804,0.15994266062208332,-64412.16781777097,"{'1d_1w': 0.0477913957259501, '1m_3m': 0.108857973964038, '1w_1m': 0.0979048260099494, '1y_2y': 0.140293398582461, '24h': 0.0242683152933807, '2y_3y': 0.233121191075286, '3m_6m': 0.112343585173691, '3y_5y': 0.00723504034493385, '5y_7y': 0.00489304695890826, '6m_12m': 0.22299635812275, '7y_10y': 0.000294198046739911, 'more_10y': 6.70702044741996e-07}",1383100.41079909,2419412.55197503,2938591.33958777,2869747.94410358,1089096.68892214,0.847751509938153,15582702.5969341,2798512.19803682,274782.0,-8067.970687143301,1.6921459043633698,1.22041163472108,105064644837.964,"{'ma111': 8144.575881014579, 'ma350x2': 17626.488727452197}",0.412074730963541,0.07987705084610024,0.0012366512113943658,129928320.313587,15798596.5644673,"{'h': 35.753467228005434, 'l': 14.149790390385775, 'v': 17.423899527732793}",-1.3937866851172975,903.52584466
1589932800,2020-05-20,9522.46761378,815944.0,154395.0,16038.0,2135.0,108.0,876740.0,437155.0,604508.0,2939619.2914935495,0.15991868613014248,-61988.97407134343,"{'1d_1w': 0.0471474551635917, '1m_3m': 0.102027683410896, '1w_1m': 0.100020262200602, '1y_2y': 0.140717643030888, '24h': 0.0237849797355766, '2y_3y': 0.232943623916754, '3m_6m': 0.117715475397703, '3y_5y': 0.00724885887740328, '5y_7y': 0.00488719838124044, '6m_12m': 0.223210938420181, '7y_10y': 0.00029521102844442, 'more_10y': 6.70436851245256e-07}",1436600.74931586,2429089.15967432,2945678.16034166,2869513.34746261,1089683.1558112,0.803060276069496,14761800.6273155,3620132.91765545,279922.0,-305.956157351,1.6901253547592283,1.16043107794564,105165280327.324,"{'ma111': 8147.190981562604, 'ma350x2': 17637.13797386394}",0.398453259258282,0.07332103592443019,0.00112396968115257,118202586.597823,25004065.8040929,"{'h': 35.67348579708165, 'l': 14.077368645768995, 'v': 17.427297259272308}",-1.3795313129610993,904.46461549
1590019200,2020-05-21,9083.12738671,816240.0,154377.0,16064.0,2136.0,108.0,922394.0,448105.0,624393.0,2947502.895897029,0.16034042160497497,-47284.69178236276,"{'1d_1w': 0.0474293461749882, '1m_3m': 0.101410150368004, '1w_1m': 0.102634621236162, '1y_2y': 0.140805273319849, '24h': 0.0212090365470263, '2y_3y': 0.232901932112044, '3m_6m': 0.117413721007683, '3y_5y': 0.00729572983451056, '5y_7y': 0.00488806849304346, '6m_12m': 0.223715153582959, '7y_10y': 0.000296296003248357, 'more_10y': 6.7132061603599e-07}",1427964.28605241,2437247.85740218,2946434.29839132,2867783.129402,1091448.77482566,0.752627820384941,13835370.7924403,4547381.5025307,298352.0,7903.839474323999,1.6253598807441476,1.02640184720196,105141516684.184,"{'ma111': 8146.646155323004, 'ma350x2': 17645.75195921284}",0.369460775905702,0.0663592546380025,0.0006797690818848348,71471952.2643868,102836754.502008,"{'h': 35.60123897787151, 'l': 13.992145339543976, 'v': 16.740030314625447}",-1.49134655602443,901.46930555
1590105600,2020-05-22,9182.63979906,815792.0,154473.0,16064.0,2136.0,107.0,797305.0,419949.0,579828.0,2943807.12911876,0.1601333332853968,-42728.69327246258,"{'1d_1w': 0.0488814815695428, '1m_3m': 0.101346730205701, '1w_1m': 0.105971973209882, '1y_2y': 0.140134492893985, '24h': 0.016659096341335, '2y_3y': 0.233784389527434, '3m_6m': 0.113506104637173, '3y_5y': 0.00734089176932715, '5y_7y': 0.00488816932668889, '6m_12m': 0.227188448574231, '7y_10y': 0.000297550027754208, 'more_10y': 6.71917081546075e-07}",1369200.34762227,2489611.32383392,2937170.50257026,2877950.35493929,1093010.77591507,0.770836578604252,14170632.6522613,4212813.39270967,278673.0,-3670.5758677983977,1.5975884647561307,1.05519206609875,105140285904.511,"{'ma111': 8144.463972896963, 'ma350x2': 17652.51081249067}",0.377476836131203,0.0633361344550067,0.00041800834025700284,43949516.4050914,51516786.2091872,"{'h': 35.52529970413522, 'l': 13.905458736733124, 'v': 16.44618956336775}",-1.5299260840141273,900.45517501
